problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns,norm_deviation,ema_abs_energy
quantum_field_noneq,1800,1.7379587136,0.6764695760,0.2187500000,21.64,69.52,11957766,1.1102230246e-16,0.0000000000
quantum_field_noneq,1900,1.7379604478,0.6765200712,-0.2500000000,21.64,69.52,12598266,0.0000000000e+00,0.0000000000
quantum_field_noneq,2000,1.7379608594,0.6756231511,0.0937500000,21.64,69.52,13271326,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,0,2.6960090986,0.8697333326,-0.0833333333,21.64,69.52,44550,2.2204460493e-16,0.0000000000
dense_nuclear_fullscale,100,2.7045407383,0.8601806182,-0.1111111111,21.64,69.52,812260,1.1102230246e-16,0.0000000000
dense_nuclear_fullscale,200,2.7076212450,0.8596947569,0.0555555556,21.64,69.52,1561929,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,300,2.7083488272,0.8552176633,-0.1111111111,21.64,69.52,2297529,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,400,2.7087167266,0.8515859724,0.1944444444,21.64,69.52,3029289,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,500,2.7089265071,0.8512155469,-0.1666666667,21.64,69.52,3759539,2.2204460493e-16,0.0000000000
dense_nuclear_fullscale,600,2.7090365129,0.8520159004,0.0000000000,21.64,69.52,4489438,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,700,2.7091007647,0.8523866581,0.0833333333,21.64,69.52,5205638,4.4408920985e-16,0.0000000000
dense_nuclear_fullscale,800,2.7091707768,0.8525310350,-0.1111111111,21.64,69.52,5908008,1.1102230246e-16,0.0000000000
dense_nuclear_fullscale,900,2.7092794828,0.8513541061,0.0555555556,21.64,69.52,6624048,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,1000,2.7094025642,0.8499911311,-0.1111111111,21.64,69.52,7342317,2.2204460493e-16,0.0000000000
dense_nuclear_fullscale,1100,2.7095096092,0.8503163752,0.1111111111,21.64,69.52,8041897,0.0000000000e+00,0.0000000000
