event,timestamp_utc,timestamp_ns,pid,detail,value
MODULE_START,2026-03-14T06:51:35Z,229672284983805,7551,simulate_adv,topological_correlated_materials
METRIC,2026-03-14T06:51:35Z,229672285019965,7551,simulate_adv:sites,121.0000000000
METRIC,2026-03-14T06:51:35Z,229672285050545,7551,simulate_adv:steps,2500.0000000000
METRIC,2026-03-14T06:51:35Z,229672285087295,7551,simulate_adv:temp_K,70.0000000000
METRIC,2026-03-14T06:51:35Z,229672285124115,7551,simulate_adv:U_eV,7.8000000000
METRIC,2026-03-14T06:51:35Z,229672285154405,7551,simulate_adv:local_pair_site0_step0,0.6982024480
METRIC,2026-03-14T06:51:35Z,229672285184145,7551,simulate_adv:d_site0_step0,-0.1385664021
METRIC,2026-03-14T06:51:35Z,229672285225805,7551,simulate_adv:step_pairing_norm_step0,0.7952293027
METRIC,2026-03-14T06:51:35Z,229672285255575,7551,simulate_adv:step_energy_norm_step0,1.9282366776
MODULE_END,2026-03-14T06:51:35Z,229672314713124,7551,simulate_adv:topological_correlated_materials,29729319
METRIC,2026-03-14T06:51:35Z,229672314751104,7551,simulate_adv:pairing_final,0.7725403046
METRIC,2026-03-14T06:51:35Z,229672314783844,7551,simulate_adv:energy_final_eV,1.9389570405
METRIC,2026-03-14T06:51:35Z,229672314814204,7551,simulate_adv:sign_ratio_final,0.2066115702
METRIC,2026-03-14T06:51:35Z,229672314849094,7551,simulate_adv:elapsed_ns,29728959.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672314888854,7551,simulate_adv,correlated_fermions_non_hubbard
METRIC,2026-03-14T06:51:35Z,229672314907524,7551,simulate_adv:sites,90.0000000000
METRIC,2026-03-14T06:51:35Z,229672314937594,7551,simulate_adv:steps,2400.0000000000
METRIC,2026-03-14T06:51:35Z,229672314976644,7551,simulate_adv:temp_K,85.0000000000
METRIC,2026-03-14T06:51:35Z,229672315021464,7551,simulate_adv:U_eV,8.6000000000
METRIC,2026-03-14T06:51:35Z,229672315051514,7551,simulate_adv:local_pair_site0_step0,0.6262988846
METRIC,2026-03-14T06:51:35Z,229672315081514,7551,simulate_adv:d_site0_step0,-0.1486360885
METRIC,2026-03-14T06:51:35Z,229672315121504,7551,simulate_adv:step_pairing_norm_step0,0.7327720151
METRIC,2026-03-14T06:51:35Z,229672315151214,7551,simulate_adv:step_energy_norm_step0,2.1173963541
MODULE_END,2026-03-14T06:51:35Z,229672336190074,7551,simulate_adv:correlated_fermions_non_hubbard,21301220
METRIC,2026-03-14T06:51:35Z,229672336226754,7551,simulate_adv:pairing_final,0.6882656396
METRIC,2026-03-14T06:51:35Z,229672336258914,7551,simulate_adv:energy_final_eV,2.1335663523
METRIC,2026-03-14T06:51:35Z,229672336288944,7551,simulate_adv:sign_ratio_final,0.0666666667
METRIC,2026-03-14T06:51:35Z,229672336318794,7551,simulate_adv:elapsed_ns,21301050.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672336357794,7551,simulate_adv,multi_state_excited_chemistry
METRIC,2026-03-14T06:51:35Z,229672336376474,7551,simulate_adv:sites,81.0000000000
METRIC,2026-03-14T06:51:35Z,229672336406504,7551,simulate_adv:steps,2300.0000000000
METRIC,2026-03-14T06:51:35Z,229672336436584,7551,simulate_adv:temp_K,48.0000000000
METRIC,2026-03-14T06:51:35Z,229672336466384,7551,simulate_adv:U_eV,6.8000000000
METRIC,2026-03-14T06:51:35Z,229672336496234,7551,simulate_adv:local_pair_site0_step0,0.8643806537
METRIC,2026-03-14T06:51:35Z,229672336526004,7551,simulate_adv:d_site0_step0,0.0819799788
METRIC,2026-03-14T06:51:35Z,229672336563854,7551,simulate_adv:step_pairing_norm_step0,0.8303040768
METRIC,2026-03-14T06:51:35Z,229672336602374,7551,simulate_adv:step_energy_norm_step0,1.6726227632
MODULE_END,2026-03-14T06:51:35Z,229672354799864,7551,simulate_adv:multi_state_excited_chemistry,18442070
METRIC,2026-03-14T06:51:35Z,229672354829474,7551,simulate_adv:pairing_final,0.8053383129
METRIC,2026-03-14T06:51:35Z,229672354866154,7551,simulate_adv:energy_final_eV,1.6944908035
METRIC,2026-03-14T06:51:35Z,229672354896634,7551,simulate_adv:sign_ratio_final,0.5061728395
METRIC,2026-03-14T06:51:35Z,229672354926814,7551,simulate_adv:elapsed_ns,18441870.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672354965604,7551,simulate_adv,bosonic_multimode_systems
METRIC,2026-03-14T06:51:35Z,229672354997614,7551,simulate_adv:sites,80.0000000000
METRIC,2026-03-14T06:51:35Z,229672355042434,7551,simulate_adv:steps,2200.0000000000
METRIC,2026-03-14T06:51:35Z,229672355072334,7551,simulate_adv:temp_K,110.0000000000
METRIC,2026-03-14T06:51:35Z,229672355103164,7551,simulate_adv:U_eV,5.2000000000
METRIC,2026-03-14T06:51:35Z,229672355132914,7551,simulate_adv:local_pair_site0_step0,0.5194588423
METRIC,2026-03-14T06:51:35Z,229672355168094,7551,simulate_adv:d_site0_step0,-0.1607652441
METRIC,2026-03-14T06:51:35Z,229672355208084,7551,simulate_adv:step_pairing_norm_step0,0.6308892432
METRIC,2026-03-14T06:51:35Z,229672355237684,7551,simulate_adv:step_energy_norm_step0,1.2779662271
MODULE_END,2026-03-14T06:51:35Z,229672372344493,7551,simulate_adv:bosonic_multimode_systems,17378889
METRIC,2026-03-14T06:51:35Z,229672372377693,7551,simulate_adv:pairing_final,0.5940524035
METRIC,2026-03-14T06:51:35Z,229672372409153,7551,simulate_adv:energy_final_eV,1.2867554134
METRIC,2026-03-14T06:51:35Z,229672372438953,7551,simulate_adv:sign_ratio_final,0.5750000000
METRIC,2026-03-14T06:51:35Z,229672372471353,7551,simulate_adv:elapsed_ns,17378779.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672372516583,7551,simulate_adv,multiscale_nonlinear_field_models
METRIC,2026-03-14T06:51:35Z,229672372535373,7551,simulate_adv:sites,96.0000000000
METRIC,2026-03-14T06:51:35Z,229672372565563,7551,simulate_adv:steps,2300.0000000000
METRIC,2026-03-14T06:51:35Z,229672372595643,7551,simulate_adv:temp_K,125.0000000000
METRIC,2026-03-14T06:51:35Z,229672372625783,7551,simulate_adv:U_eV,9.2000000000
METRIC,2026-03-14T06:51:35Z,229672372656353,7551,simulate_adv:local_pair_site0_step0,0.6483806107
METRIC,2026-03-14T06:51:35Z,229672372686303,7551,simulate_adv:d_site0_step0,-0.0935885687
METRIC,2026-03-14T06:51:35Z,229672372725433,7551,simulate_adv:step_pairing_norm_step0,0.6474775582
METRIC,2026-03-14T06:51:35Z,229672372755453,7551,simulate_adv:step_energy_norm_step0,2.2678017948
MODULE_END,2026-03-14T06:51:35Z,229672394244173,7551,simulate_adv:multiscale_nonlinear_field_models,21727590
METRIC,2026-03-14T06:51:35Z,229672394281833,7551,simulate_adv:pairing_final,0.6019195547
METRIC,2026-03-14T06:51:35Z,229672394322473,7551,simulate_adv:energy_final_eV,2.2846636559
METRIC,2026-03-14T06:51:35Z,229672394368613,7551,simulate_adv:sign_ratio_final,0.0833333333
METRIC,2026-03-14T06:51:35Z,229672394411143,7551,simulate_adv:elapsed_ns,21727350.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672394455213,7551,simulate_adv,far_from_equilibrium_kinetic_lattices
METRIC,2026-03-14T06:51:35Z,229672394478903,7551,simulate_adv:sites,99.0000000000
METRIC,2026-03-14T06:51:35Z,229672394509153,7551,simulate_adv:steps,2400.0000000000
METRIC,2026-03-14T06:51:35Z,229672394538923,7551,simulate_adv:temp_K,150.0000000000
METRIC,2026-03-14T06:51:35Z,229672394568643,7551,simulate_adv:U_eV,8.0000000000
METRIC,2026-03-14T06:51:35Z,229672394598723,7551,simulate_adv:local_pair_site0_step0,0.4130448117
METRIC,2026-03-14T06:51:35Z,229672394628343,7551,simulate_adv:d_site0_step0,0.1591558826
METRIC,2026-03-14T06:51:35Z,229672394667373,7551,simulate_adv:step_pairing_norm_step0,0.6008116794
METRIC,2026-03-14T06:51:35Z,229672394696993,7551,simulate_adv:step_energy_norm_step0,1.9740987693
MODULE_END,2026-03-14T06:51:35Z,229672417955393,7551,simulate_adv:far_from_equilibrium_kinetic_lattices,23500180
METRIC,2026-03-14T06:51:35Z,229672417988283,7551,simulate_adv:pairing_final,0.5343439507
METRIC,2026-03-14T06:51:35Z,229672418030743,7551,simulate_adv:energy_final_eV,1.9844734487
METRIC,2026-03-14T06:51:35Z,229672418064383,7551,simulate_adv:sign_ratio_final,0.1515151515
METRIC,2026-03-14T06:51:35Z,229672418103323,7551,simulate_adv:elapsed_ns,23500000.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672418153783,7551,simulate_adv,multi_correlated_fermion_boson_networks
METRIC,2026-03-14T06:51:35Z,229672418172693,7551,simulate_adv:sites,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672418202943,7551,simulate_adv:steps,2350.0000000000
METRIC,2026-03-14T06:51:35Z,229672418233023,7551,simulate_adv:temp_K,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672418262933,7551,simulate_adv:U_eV,7.4000000000
METRIC,2026-03-14T06:51:35Z,229672418292993,7551,simulate_adv:local_pair_site0_step0,0.5140029187
METRIC,2026-03-14T06:51:35Z,229672418322643,7551,simulate_adv:d_site0_step0,0.1796922566
METRIC,2026-03-14T06:51:35Z,229672418361893,7551,simulate_adv:step_pairing_norm_step0,0.7146742124
METRIC,2026-03-14T06:51:35Z,229672418391523,7551,simulate_adv:step_energy_norm_step0,1.8263057437
MODULE_END,2026-03-14T06:51:35Z,229672441119942,7551,simulate_adv:multi_correlated_fermion_boson_networks,22966159
METRIC,2026-03-14T06:51:35Z,229672441163262,7551,simulate_adv:pairing_final,0.6620529551
METRIC,2026-03-14T06:51:35Z,229672441197212,7551,simulate_adv:energy_final_eV,1.8374852910
METRIC,2026-03-14T06:51:35Z,229672441227212,7551,simulate_adv:sign_ratio_final,0.1000000000
METRIC,2026-03-14T06:51:35Z,229672441257192,7551,simulate_adv:elapsed_ns,22966069.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672441296892,7551,simulate_adv,hubbard_hts_core
METRIC,2026-03-14T06:51:35Z,229672441315622,7551,simulate_adv:sites,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672441346012,7551,simulate_adv:steps,700.0000000000
METRIC,2026-03-14T06:51:35Z,229672441376052,7551,simulate_adv:temp_K,95.0000000000
METRIC,2026-03-14T06:51:35Z,229672441406082,7551,simulate_adv:U_eV,8.0000000000
METRIC,2026-03-14T06:51:35Z,229672441436112,7551,simulate_adv:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T06:51:35Z,229672441466152,7551,simulate_adv:d_site0_step0,-0.1531025933
METRIC,2026-03-14T06:51:35Z,229672441505732,7551,simulate_adv:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T06:51:35Z,229672441535652,7551,simulate_adv:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T06:51:35Z,229672448066372,7551,simulate_adv:hubbard_hts_core,6769480
METRIC,2026-03-14T06:51:35Z,229672448101172,7551,simulate_adv:pairing_final,0.6814645148
METRIC,2026-03-14T06:51:35Z,229672448132852,7551,simulate_adv:energy_final_eV,1.9844821502
METRIC,2026-03-14T06:51:35Z,229672448162722,7551,simulate_adv:sign_ratio_final,-0.0600000000
METRIC,2026-03-14T06:51:35Z,229672448192822,7551,simulate_adv:elapsed_ns,6769390.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672448228102,7551,simulate_adv,hubbard_hts_core
METRIC,2026-03-14T06:51:35Z,229672448246502,7551,simulate_adv:sites,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672448276532,7551,simulate_adv:steps,1400.0000000000
METRIC,2026-03-14T06:51:35Z,229672448306382,7551,simulate_adv:temp_K,95.0000000000
METRIC,2026-03-14T06:51:35Z,229672448342402,7551,simulate_adv:U_eV,8.0000000000
METRIC,2026-03-14T06:51:35Z,229672448379382,7551,simulate_adv:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T06:51:35Z,229672448417082,7551,simulate_adv:d_site0_step0,-0.1531025933
METRIC,2026-03-14T06:51:35Z,229672448475312,7551,simulate_adv:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T06:51:35Z,229672448514152,7551,simulate_adv:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T06:51:35Z,229672461479562,7551,simulate_adv:hubbard_hts_core,13251460
METRIC,2026-03-14T06:51:35Z,229672461517422,7551,simulate_adv:pairing_final,0.6848955228
METRIC,2026-03-14T06:51:35Z,229672461549362,7551,simulate_adv:energy_final_eV,1.9845738513
