mode,run,seed,rc,wins,losses,win_rate,nqubits_per_sec,nqubit_avg_score,baseline_avg_score,latency_p50_ns,latency_p95_ns,latency_p99_ns,used_hardware_entropy,margin_mean,margin_std,scenario_latency_mean_ns,max_qubits_width
hardware_preferred,14,0,0,242,118,0.672222222222,8194914.213,0.964766992458,0.940007562572,157180,216580,233370,True,0.02475942988529722,0.04922871888928732,160235.975,36
hardware_preferred,15,0,0,228,132,0.633333333333,7831372.038,0.961448725279,0.937934854458,176450,229280,240190,True,0.02351387082070833,0.05624206208585985,166394.63611111112,36
hardware_preferred,16,0,0,235,125,0.652777777778,8982367.292,0.961879151759,0.943062180562,135660,191200,226480,True,0.01881697119694722,0.04814515989855531,146123.55555555556,36
hardware_preferred,17,0,0,226,134,0.627777777778,8813771.462,0.962572446338,0.937719762935,137660,191260,225060,True,0.024852683402375,0.053238532653060805,148875.10833333334,36
hardware_preferred,18,0,0,238,122,0.661111111111,8922884.133,0.9597228345,0.939070932754,134610,194530,224660,True,0.020651901746066667,0.05056860152138139,146814.4972222222,36
hardware_preferred,19,0,0,233,127,0.647222222222,7914495.807,0.959278898603,0.93881338233,170800,225080,230770,True,0.02046551627238889,0.05224843654594997,165957.5,36
hardware_preferred,20,0,0,245,115,0.680555555556,8493698.232,0.96157071498,0.93877084029,142290,197680,233180,True,0.022799874690277777,0.052463005753132994,154251.5,36
hardware_preferred,21,0,0,248,112,0.688888888889,8789232.785,0.960530478963,0.93645931827,142630,188880,219540,True,0.024071160692277778,0.05562232611861124,150005.13611111112,36
hardware_preferred,22,0,0,224,136,0.622222222222,8899943.969,0.962387323199,0.940515158882,133500,190970,224760,True,0.021872164317525,0.05355078134109963,147422.91666666666,36
hardware_preferred,23,0,0,227,133,0.630555555556,7556483.59,0.961412627768,0.938635816995,183370,222010,231620,True,0.02277681077363889,0.05744950720366987,174023.47222222222,36
hardware_preferred,24,0,0,239,121,0.663888888889,7227631.338,0.9621136365,0.941087521546,184370,226460,229390,True,0.021026114954455555,0.04923967478760462,182225.1611111111,36
hardware_preferred,25,0,0,234,126,0.65,8240550.97,0.964457246053,0.943961598485,153740,199500,228080,True,0.020495647568230555,0.046834324607571046,160275.8,36
hardware_preferred,26,0,0,240,120,0.666666666667,8341702.621,0.963587046989,0.941296714663,153600,203670,222921,True,0.02229033232680278,0.05206536100652494,157679.91666666666,36
hardware_preferred,27,0,0,245,115,0.680555555556,7053854.218,0.961691729742,0.935795456376,192380,237650,245540,True,0.025896273365574998,0.05250047643302737,187103.02777777778,36
hardware_preferred,28,0,0,237,123,0.658333333333,8087018.891,0.961538917461,0.939118949928,170060,210770,231810,True,0.022419967532805556,0.04884532426662214,162976.94444444444,36
hardware_preferred,29,0,0,239,121,0.663888888889,8492211.404,0.961173737604,0.935575916685,147070,193800,220670,True,0.025597820919166667,0.05509316212046368,154825.33055555556,36
deterministic_seeded,0,1,0,247,113,0.686111111111,8227071.214,0.962723751798,0.940151442496,159400,204020,229190,False,0.022572309302347222,0.04726312032607912,160488.46944444443,36
deterministic_seeded,1,2,0,244,116,0.677777777778,7648311.226,0.964751083615,0.941196772426,156450,209090,297390,False,0.023554311188763888,0.051096520531153364,172925.0,36
deterministic_seeded,2,3,0,232,128,0.644444444444,7841015.324,0.961350553693,0.940048574945,177370,214600,223440,False,0.021301978748480555,0.05133401536778466,168424.25,36
deterministic_seeded,3,4,0,238,122,0.661111111111,8159539.856,0.961752171061,0.939304730635,161770,200150,225440,False,0.022447440425925003,0.04885956098129349,160694.525,36
deterministic_seeded,4,5,0,229,131,0.636111111111,8581852.457,0.960279671985,0.942190655381,142900,198400,223670,False,0.018089016604091665,0.048316849245074144,153000.14166666666,36
deterministic_seeded,5,6,0,237,123,0.658333333333,7732937.481,0.963872240068,0.941370848251,182450,213320,230570,False,0.022501391817008335,0.05191436786640746,170511.69444444444,36
deterministic_seeded,6,7,0,230,130,0.638888888889,8078775.887,0.960779211338,0.940508284782,168160,197210,229150,False,0.02027092655641389,0.05191364392268776,162754.4138888889,36
deterministic_seeded,7,8,0,248,112,0.688888888889,7850142.157,0.96146624983,0.93653192143,183160,221630,228880,False,0.024934328400530555,0.05104614851505948,168202.25,36
deterministic_seeded,8,9,0,231,129,0.641666666667,8660737.418,0.963755271045,0.941333310634,145340,188810,220300,False,0.022421960410836113,0.05180803043888159,151633.72222222222,36
deterministic_seeded,9,10,0,230,130,0.638888888889,7856619.194,0.962068006452,0.943077058577,176930,208910,231030,False,0.018990947875394446,0.049088176293993285,167550.75,36
deterministic_seeded,10,11,0,238,122,0.661111111111,7908973.986,0.960595824205,0.937016257483,173010,213530,245790,False,0.023579566722294443,0.05303062812335781,166358.22222222222,36
deterministic_seeded,11,12,0,226,134,0.627777777778,8482816.465,0.960198908618,0.937343619012,142950,200590,227090,False,0.02285528960553611,0.055064792731142106,155108.5,36
deterministic_seeded,12,13,0,229,131,0.636111111111,8575665.358,0.96271975317,0.938727938494,140480,197380,243200,False,0.023991814676088886,0.0544825583640707,153409.30555555556,36
deterministic_seeded,13,14,0,227,133,0.630555555556,8807691.911,0.960030961856,0.941106844148,137500,194530,227470,False,0.018924117707894445,0.051904100759032845,149624.22222222222,36
deterministic_seeded,14,15,0,233,127,0.647222222222,8184413.146,0.959922500896,0.936318099014,152190,207400,302290,False,0.023604401882858332,0.0542133128164283,160823.05277777778,36
deterministic_seeded,15,16,0,226,134,0.627777777778,8107332.199,0.963398477518,0.940246135079,166170,205320,229570,False,0.023152342439355555,0.052107188928703994,162565.21666666667,36
deterministic_seeded,16,17,0,224,136,0.622222222222,7242130.681,0.960884716809,0.938694710925,183829,229740,234400,False,0.022190005884744443,0.0523734687958911,181554.30277777778,36
deterministic_seeded,17,18,0,237,123,0.658333333333,7421225.677,0.959741274732,0.936014624942,183980,226320,232160,False,0.02372664978973611,0.05323894985264082,178107.66666666666,36
deterministic_seeded,18,19,0,246,114,0.683333333333,7413728.363,0.962257402639,0.938759157356,185080,225910,238350,False,0.02349824528283889,0.05332444716173693,178450.60833333334,36
deterministic_seeded,19,20,0,251,109,0.697222222222,8142471.407,0.963390143571,0.937210184421,157760,210420,231820,False,0.02617995915067222,0.04890798165647818,161355.8361111111,36
deterministic_seeded,20,21,0,236,124,0.655555555556,8753687.035,0.962514471869,0.937252273122,138060,194860,218940,False,0.025262198746872223,0.054757015022470344,150497.55277777778,36
deterministic_seeded,21,22,0,238,122,0.661111111111,8630905.492,0.960281030552,0.936885262096,140980,195610,224390,False,0.023395768455769444,0.05066083597241885,151545.66666666666,36
deterministic_seeded,22,23,0,260,100,0.722222222222,7281827.035,0.963255918086,0.933361965234,186350,222870,304750,False,0.029893952852008333,0.05133284695545252,181514.10555555555,36
deterministic_seeded,23,24,0,249,111,0.691666666667,8609770.015,0.962772597058,0.938144168802,140580,196150,231180,False,0.024628428256641667,0.04820118479052832,152800.775,36
deterministic_seeded,24,25,0,230,130,0.638888888889,9394337.552,0.961914614106,0.937291556806,130870,179970,205210,False,0.024623057300744444,0.05104743634326343,139881.6638888889,36
deterministic_seeded,25,26,0,237,123,0.658333333333,7942871.84,0.959168777685,0.933196221966,173270,219000,232270,False,0.025972555718427777,0.05436885091934999,166033.52777777778,36
deterministic_seeded,26,27,0,234,126,0.65,8316037.268,0.960629028481,0.940604108576,148330,199610,233380,False,0.020024919905891666,0.051361001092461916,158262.13888888888,36
deterministic_seeded,27,28,0,235,125,0.652777777778,8353536.378,0.960856808941,0.937381748234,148460,198750,230990,False,0.023475060707741666,0.05383790997555153,157273.1638888889,36
deterministic_seeded,28,29,0,241,119,0.669444444444,8504334.004,0.96213908428,0.936709959942,145440,199220,221030,False,0.025429124337986112,0.05187435931047229,154871.75,36
deterministic_seeded,29,30,0,225,135,0.625,8085061.261,0.961725524214,0.940835483961,168230,204660,229530,False,0.02089004025323889,0.05072368263485588,163379.63888888888,36
baseline_neutralized,0,1,0,281,79,0.780555555556,7815410.063,0.976551527248,0.940151442496,180360,220190,235810,False,0.03640008475241667,0.043206046722279366,168024.4388888889,36
baseline_neutralized,1,2,0,284,76,0.788888888889,8267490.183,0.977801971799,0.941196772426,157750,198510,228730,False,0.036605199372155554,0.0462040889470086,159861.71944444443,36
baseline_neutralized,2,3,0,276,84,0.766666666667,7733966.41,0.975699339149,0.940048574945,182650,221300,232330,False,0.03565076420470555,0.047385276344284306,171035.7472222222,36
baseline_neutralized,3,4,0,282,78,0.783333333333,7888958.526,0.975985019021,0.939304730635,182050,207420,231620,False,0.03668028838635556,0.04410140126032911,167279.25,36
baseline_neutralized,4,5,0,273,87,0.758333333333,7794255.291,0.975095783906,0.942190655381,180290,208900,226300,False,0.03290512852492222,0.04398966229138075,168220.7472222222,36
baseline_neutralized,5,6,0,267,93,0.741666666667,7407411.871,0.977303461044,0.941370848251,184310,219010,231000,False,0.03593261279258611,0.046979534094809254,178376.16666666666,36
baseline_neutralized,6,7,0,273,87,0.758333333333,8158669.414,0.975325375547,0.940508284782,163830,199710,225120,False,0.03481709076535,0.04631665038098802,161426.74444444446,36
baseline_neutralized,7,8,0,288,72,0.8,7515829.097,0.975813991515,0.93653192143,183630,223310,227550,False,0.03928207008504722,0.047295894026304366,175976.55555555556,36
baseline_neutralized,8,9,0,272,88,0.755555555556,7627709.653,0.977219392419,0.941333310634,184910,204200,228550,False,0.03588608178494722,0.04693249953998156,172612.91666666666,36
baseline_neutralized,9,10,0,268,92,0.744444444444,8176336.453,0.976102576822,0.943077058577,162650,197340,226920,False,0.03302551824483611,0.04457948317901853,160747.66944444444,36
baseline_neutralized,10,11,0,279,81,0.775,7623007.319,0.975267968413,0.937016257483,183210,223620,230470,False,0.038251710929425,0.04803313614826406,171919.88888888888,36
baseline_neutralized,11,12,0,272,88,0.755555555556,8118601.296,0.975016552959,0.937343619012,166650,213710,230780,False,0.03767293394712223,0.05048675066192607,162462.80277777778,36
baseline_neutralized,12,13,0,277,83,0.769444444444,7587134.628,0.976592675577,0.938727938494,184090,223590,231130,False,0.037864737082930554,0.048941816504156466,173669.72222222222,36
baseline_neutralized,13,14,0,270,90,0.75,7981167.106,0.974749401438,0.941106844148,176730,202360,232760,False,0.03364255728923611,0.046664738138642615,164834.6638888889,36
baseline_neutralized,14,15,0,279,81,0.775,8151767.933,0.974766482728,0.936318099014,168590,194440,220980,False,0.038448383714683336,0.049727452974905675,161453.58055555556,36
baseline_neutralized,15,16,0,275,85,0.763888888889,8250527.936,0.976944825365,0.940246135079,161500,199170,225710,False,0.03669869028661944,0.04697744944606844,160194.94444444444,36
baseline_neutralized,16,17,0,273,87,0.758333333333,8349976.681,0.975406356898,0.938694710925,146920,201860,239580,False,0.03671164597345278,0.04749821692995152,157749.61111111112,36
baseline_neutralized,17,18,0,280,80,0.777777777778,7546254.61,0.97475548871,0.936014624942,182330,221930,232810,False,0.03874086376835833,0.049248346231198385,174482.05555555556,36
baseline_neutralized,18,19,0,280,80,0.777777777778,8174241.218,0.97623602878,0.938759157356,161240,212230,225190,False,0.03747687142338334,0.048571367864419575,161036.38888888888,36
baseline_neutralized,19,20,0,290,70,0.805555555556,7951930.078,0.977015530233,0.937210184421,176470,204760,237790,False,0.03980534581224167,0.04540020470643817,165316.38611111112,36
baseline_neutralized,20,21,0,282,78,0.783333333333,8528950.626,0.976487462497,0.937252273122,139820,195970,227600,False,0.039235189374977775,0.049910102641911154,153449.08333333334,36
baseline_neutralized,21,22,0,286,74,0.794444444444,8504425.988,0.974881297853,0.936885262096,146150,193160,231400,False,0.037996035757194443,0.04658146692061827,154658.63888888888,36
baseline_neutralized,22,23,0,290,70,0.805555555556,7950424.811,0.977062248365,0.933361965234,173240,217760,234480,False,0.04370028313089445,0.04782796340526753,166271.96944444443,36
baseline_neutralized,23,24,0,294,66,0.816666666667,7496254.215,0.97672660851,0.938144168802,183420,226830,234930,False,0.03858243970868333,0.04430055054934208,175985.71944444443,36
baseline_neutralized,24,25,0,287,73,0.797222222222,7394783.89,0.976099903378,0.937291556806,184040,229900,238410,False,0.03880834657283889,0.04746462705139087,177974.47222222222,36
baseline_neutralized,25,26,0,276,84,0.766666666667,8226349.978,0.974291670733,0.933196221966,165290,195810,222020,False,0.041095448766258334,0.050378776934545115,160491.27777777778,36
baseline_neutralized,26,27,0,278,82,0.772222222222,8117501.609,0.975370673339,0.940604108576,173210,203260,220600,False,0.034766564763880556,0.046640337784342595,163436.025,36
baseline_neutralized,27,28,0,276,84,0.766666666667,8056694.962,0.975411843104,0.937381748234,175690,198250,223730,False,0.038030094870394444,0.04884035252614053,163436.60833333334,36
baseline_neutralized,28,29,0,282,78,0.783333333333,7911943.833,0.9763328206,0.936709959942,178170,206650,226680,False,0.0396228606583,0.04819278944429504,166935.25,36
baseline_neutralized,29,30,0,272,88,0.755555555556,7438991.524,0.976049485897,0.940835483961,183730,224540,239180,False,0.03521400193575,0.046921152714414986,177654.33055555556,36
