timestamp_ns,n_value,omega,merkle
1770039210881727686,206227,0.0204082,0x727686
1770039210881727746,618682,0.02,0x727746
1770039210881727796,309341,0.0196078,0x727796
1770039210881727856,928024,0.0192308,0x727856
1770039210881727916,464012,0.0188679,0x727916
1770039210881727966,232006,0.0185185,0x727966
1770039210881728026,116003,0.0181818,0x728026
1770039210881728086,348010,0.0178571,0x728086
1770039210881728136,174005,0.0175439,0x728136
1770039210881728196,522016,0.0172414,0x728196
1770039210881728256,261008,0.0169492,0x728256
1770039210881728306,130504,0.0166667,0x728306
1770039210881728366,65252,0.0163934,0x728366
1770039210881728426,32626,0.016129,0x728426
1770039210881728476,16313,0.015873,0x728476
1770039210881728536,48940,0.015625,0x728536
1770039210881728596,24470,0.0153846,0x728596
1770039210881728646,12235,0.0151515,0x728646
1770039210881735486,36706,0.0149254,0x735486
1770039210881735546,18353,0.0147059,0x735546
1770039210881735596,55060,0.0144928,0x735596
1770039210881735656,27530,0.0142857,0x735656
1770039210881735716,13765,0.0140845,0x735716
1770039210881735766,41296,0.0138889,0x735766
1770039210881735826,20648,0.0136986,0x735826
1770039210881735876,10324,0.0135135,0x735876
1770039210881735936,5162,0.0133333,0x735936
1770039210881735996,2581,0.0131579,0x735996
1770039210881736056,7744,0.012987,0x736056
1770039210881736106,3872,0.0128205,0x736106
1770039210881736166,1936,0.0126582,0x736166
1770039210881736216,968,0.0125,0x736216
1770039210881736276,484,0.0123457,0x736276
1770039210881736336,242,0.0121951,0x736336
1770039210881736396,121,0.0120482,0x736396
1770039210881736446,364,0.0119048,0x736446
1770039210881736506,182,0.0117647,0x736506
1770039210881736556,91,0.0116279,0x736556
1770039210881736616,274,0.0114943,0x736616
1770039210881736676,137,0.0113636,0x736676
1770039210881736736,412,0.011236,0x736736
1770039210881736786,206,0.0111111,0x736786
1770039210881736846,103,0.010989,0x736846
1770039210881736906,310,0.0108696,0x736906
1770039210881736956,155,0.0107527,0x736956
1770039210881737016,466,0.0106383,0x737016
1770039210881737076,233,0.0105263,0x737076
1770039210881737126,700,0.0104167,0x737126
1770039210881737186,350,0.0103093,0x737186
1770039210881737246,175,0.0102041,0x737246
1770039210881737296,526,0.010101,0x737296
1770039210881737356,263,0.01,0x737356
1770039210881737416,790,0.00990099,0x737416
1770039210881737466,395,0.00980392,0x737466
1770039210881737526,1186,0.00970874,0x737526
1770039210881737586,593,0.00961538,0x737586
1770039210881737636,1780,0.00952381,0x737636
1770039210881737696,890,0.00943396,0x737696
1770039210881737756,445,0.00934579,0x737756
1770039210881737806,1336,0.00925926,0x737806
1770039210881737866,668,0.00917431,0x737866
1770039210881737916,334,0.00909091,0x737916
1770039210881737976,167,0.00900901,0x737976
1770039210881738036,502,0.00892857,0x738036
1770039210881738086,251,0.00884956,0x738086
1770039210881738146,754,0.00877193,0x738146
1770039210881738206,377,0.00869565,0x738206
1770039210881738256,1132,0.00862069,0x738256
1770039210881738316,566,0.00854701,0x738316
1770039210881738376,283,0.00847458,0x738376
1770039210881738426,850,0.00840336,0x738426
1770039210881738486,425,0.00833333,0x738486
1770039210881738546,1276,0.00826446,0x738546
1770039210881738596,638,0.00819672,0x738596
1770039210881738656,319,0.00813008,0x738656
1770039210881738716,958,0.00806452,0x738716
1770039210881738766,479,0.008,0x738766
1770039210881738826,1438,0.00793651,0x738826
1770039210881738886,719,0.00787402,0x738886
1770039210881738936,2158,0.0078125,0x738936
1770039210881738996,1079,0.00775194,0x738996
1770039210881739056,3238,0.00769231,0x739056
1770039210881746136,1619,0.00763359,0x746136
1770039210881746186,4858,0.00757576,0x746186
1770039210881746246,2429,0.0075188,0x746246
1770039210881748676,7288,0.00746269,0x748676
1770039210881748736,3644,0.00740741,0x748736
1770039210881748796,1822,0.00735294,0x748796
1770039210881748846,911,0.00729927,0x748846
1770039210881748906,2734,0.00724638,0x748906
1770039210881748966,1367,0.00719424,0x748966
1770039210881749016,4102,0.00714286,0x749016
1770039210881749076,2051,0.0070922,0x749076
1770039210881749136,6154,0.00704225,0x749136
1770039210881749186,3077,0.00699301,0x749186
1770039210881749246,9232,0.00694444,0x749246
1770039210881749306,4616,0.00689655,0x749306
1770039210881749356,2308,0.00684932,0x749356
1770039210881749416,1154,0.00680272,0x749416
1770039210881749476,577,0.00675676,0x749476
1770039210881749526,1732,0.00671141,0x749526
1770039210881749586,866,0.00666667,0x749586
1770039210881749646,433,0.00662252,0x749646
1770039210881749696,1300,0.00657895,0x749696
1770039210881749756,650,0.00653595,0x749756
1770039210881749816,325,0.00649351,0x749816
1770039210881749866,976,0.00645161,0x749866
1770039210881749926,488,0.00641026,0x749926
1770039210881749986,244,0.00636943,0x749986
1770039210881750036,122,0.00632911,0x750036
1770039210881750096,61,0.00628931,0x750096
1770039210881750146,184,0.00625,0x750146
1770039210881750206,92,0.00621118,0x750206
1770039210881750266,46,0.00617284,0x750266
1770039210881750316,23,0.00613497,0x750316
1770039210881750376,70,0.00609756,0x750376
1770039210881750436,35,0.00606061,0x750436
1770039210881750496,106,0.0060241,0x750496
1770039210881750546,53,0.00598802,0x750546
1770039210881750606,160,0.00595238,0x750606
1770039210881750656,80,0.00591716,0x750656
1770039210881750716,40,0.00588235,0x750716
1770039210881750776,20,0.00584795,0x750776
1770039210881750826,10,0.00581395,0x750826
1770039210881750886,5,0.00578035,0x750886
1770039210881750946,16,0.00574713,0x750946
1770039210881750996,8,0.00571429,0x750996
1770039210881751056,4,0.00568182,0x751056
1770039210881751116,2,0.00564972,0x751116
1770039210881751166,1,0.00561798,0x751166
