problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
dense_nuclear_proxy,600,-2099.8038261606,27866.9102134797,-0.0039050562,15.00,3.35,171468273
dense_nuclear_proxy,700,-1942.0080432558,32397.5758256344,-0.0045125040,15.00,3.35,199674572
dense_nuclear_proxy,800,-1430.0959335148,36872.6070539864,-0.0026752274,15.00,3.35,227329436
dense_nuclear_proxy,900,-670.4769096673,41328.6359757039,-0.0045980656,15.01,3.35,256116897
dense_nuclear_proxy,1000,425.6243665233,45742.4007529837,-0.0062998226,15.01,3.35,284388045
dense_nuclear_proxy,1100,1918.3378213563,50121.2415159250,-0.0054681273,15.01,3.35,312594323
dense_nuclear_proxy,1200,3549.5836344748,54500.9806264840,-0.0050468147,15.01,3.35,340220319
dense_nuclear_proxy,1300,5085.0460153786,58894.2685914760,-0.0048785079,15.01,3.35,369026019
dense_nuclear_proxy,1400,6664.8881334236,63294.1655947170,-0.0028405366,15.02,3.35,397660592
dense_nuclear_proxy,1500,8413.0951460029,67685.8068956483,-0.0045004011,15.02,3.35,425208710
dense_nuclear_proxy,1600,10278.4483643659,72066.7036854035,-0.0043467731,15.02,3.35,452996453
dense_nuclear_proxy,1700,12368.0247435593,76439.4677913384,-0.0059628790,15.02,3.35,481549156
dense_nuclear_proxy,1800,14723.1204875743,80786.7454268318,-0.0053145078,15.02,3.35,509425324
dense_nuclear_proxy,1900,17086.8194797223,85123.2167329529,-0.0058078992,15.03,3.35,536985376
dense_nuclear_proxy,2000,19793.9864055570,89437.7317098852,-0.0053952616,15.03,3.33,564729999
dense_nuclear_proxy,2100,22785.5479123046,93727.0116137760,-0.0053521647,15.03,3.33,593084675
quantum_chemistry_proxy,0,-8.9347457613,24.9442196895,-0.2800000000,15.03,3.33,341600
quantum_chemistry_proxy,100,-990.3138936440,2490.4427775678,-0.0526732673,15.04,3.33,28473610
quantum_chemistry_proxy,200,-1919.0224806682,4925.7617140871,-0.0427860697,15.04,3.33,56999636
quantum_chemistry_proxy,300,-2795.5117926845,7340.6077364278,-0.0338870432,15.04,3.33,84727662
quantum_chemistry_proxy,400,-3615.4025002945,9726.8256152817,-0.0282294264,15.04,3.33,112354004
quantum_chemistry_proxy,500,-4341.1434490787,12101.3039794628,-0.0205189621,15.04,3.33,140569930
quantum_chemistry_proxy,600,-4904.4388819198,14438.2910687069,-0.0205657238,15.05,3.33,169349331
quantum_chemistry_proxy,700,-5477.3190234979,16783.7272231497,-0.0169472183,15.05,3.33,197168118
quantum_chemistry_proxy,800,-5942.8605810358,19113.4770121668,-0.0139325843,15.05,3.33,224324981
quantum_chemistry_proxy,900,-6436.3228406488,21442.5096297121,-0.0133629301,15.05,3.33,252081789
quantum_chemistry_proxy,1000,-6793.3461430948,23752.3637860578,-0.0136263736,15.05,3.33,280665830
quantum_chemistry_proxy,1100,-7115.0022982150,26051.2088310622,-0.0143505904,15.06,3.33,308877885
quantum_chemistry_proxy,1200,-7334.2502440676,28332.2805869849,-0.0124229808,15.06,3.33,336420242
quantum_chemistry_proxy,1300,-7507.7059677041,30617.5852951167,-0.0112836280,15.06,3.33,366525799
quantum_chemistry_proxy,1400,-7533.8925276609,32892.5325751200,-0.0095074946,15.06,3.33,395493595
quantum_chemistry_proxy,1500,-7542.5705538081,35161.4530380195,-0.0108461026,15.06,3.33,424294747
quantum_chemistry_proxy,1600,-7529.7138000820,37421.7678084465,-0.0112679575,15.07,3.33,453145522
quantum_chemistry_proxy,1700,-7431.8352419831,39674.2728439434,-0.0130981775,15.07,3.33,480743418
quantum_chemistry_proxy,1800,-7353.0665820962,41929.4542145868,-0.0127706830,15.07,3.33,509008127
quantum_chemistry_proxy,1900,-7340.9657970766,44186.7850115803,-0.0116780642,15.07,3.33,536666643
quantum_chemistry_proxy,2000,-7398.5809443138,46464.1165156022,-0.0106146927,15.07,3.33,564530079
quantum_chemistry_proxy,2100,-7334.4280626503,48730.6826359465,-0.0109852451,15.08,3.33,592263659
quantum_chemistry_proxy,2200,-7200.0309080536,50991.5286355169,-0.0107042254,15.08,3.33,620649551
quantum_chemistry_proxy,2300,-7144.5676836119,53257.5746414035,-0.0089178618,15.08,3.33,648230115
