step,r,r_hex,g_tt,timestamp
77,2.9671866033008167,0x1.7bccc5472735fp+1,-0.326055816212362,2026-02-14T02:37:41.501756
78,2.966768640913801,0x1.7bbf1327c2f66p+1,-0.325960867748576,2026-02-14T02:37:41.501767
79,2.9663507475618993,0x1.7bb1619c9f2b5p+1,-0.32586590821317674,2026-02-14T02:37:41.501779
80,2.9659329232495053,0x1.7ba3b0a5be3f3p+1,-0.32577093760911313,2026-02-14T02:37:41.501789
81,2.9655151679810094,0x1.7b960043229bep+1,-0.3256759559393373,2026-02-14T02:37:41.501800
82,2.9650974817607993,0x1.7b885074ceaaep+1,-0.3255809632068041,2026-02-14T02:37:41.501811
83,2.964679864593259,0x1.7b7aa13ac4d53p+1,-0.32548595941447167,2026-02-14T02:37:41.501822
84,2.964262316482769,0x1.7b6cf29507835p+1,-0.32539094456530093,2026-02-14T02:37:41.501833
85,2.9638448374337067,0x1.7b5f4483991d5p+1,-0.3252959186622558,2026-02-14T02:37:41.501843
86,2.963427427450445,0x1.7b5197067c0aap+1,-0.32520088170830364,2026-02-14T02:37:41.501855
87,2.9630100865373548,0x1.7b43ea1db2b26p+1,-0.325105833706414,2026-02-14T02:37:41.501867
88,2.9625928146988025,0x1.7b363dc93f7b2p+1,-0.32501077465955996,2026-02-14T02:37:41.501878
89,2.9621756119391516,0x1.7b28920924cafp+1,-0.3249157045707177,2026-02-14T02:37:41.501888
90,2.961758478262762,0x1.7b1ae6dd65077p+1,-0.3248206234428662,2026-02-14T02:37:41.501899
91,2.96134141367399,0x1.7b0d3c460295cp+1,-0.3247255312789872,2026-02-14T02:37:41.501909
92,2.9609244181771888,0x1.7aff9242ffda7p+1,-0.32463042808206577,2026-02-14T02:37:41.501920
93,2.960507491776708,0x1.7af1e8d45f39cp+1,-0.32453531385509005,2026-02-14T02:37:41.501930
94,2.9600906344768934,0x1.7ae43ffa23174p+1,-0.32444018860105106,2026-02-14T02:37:41.501941
95,2.959673846282088,0x1.7ad697b44dd63p+1,-0.3243450523229424,2026-02-14T02:37:41.501953
96,2.959257127196631,0x1.7ac8f002e1d94p+1,-0.3242499050237614,2026-02-14T02:37:41.501964
97,2.958840477224858,0x1.7abb48e5e182ap+1,-0.3241547467065079,2026-02-14T02:37:41.501975
98,2.9584238963711016,0x1.7aada25d4f340p+1,-0.3240595773741851,2026-02-14T02:37:41.501986
99,2.95800738463969,0x1.7a9ffc692d4eap+1,-0.32396439702979873,2026-02-14T02:37:41.501997
