step,r,r_hex,g_tt,timestamp
28,1.498044159318265,0x1.7f7fd2703c5afp+0,0.335013982309259,2026-02-14T...
29,1.497977074290489,0x1.7f7b6cf03c441p+0,0.335073787719911,2026-02-14T...
30,1.497910013031135,0x1.7f7707d651d54p+0,0.335133577297458,2026-02-14T...
31,1.497842975532298,0x1.7f72a322745d3p+0,0.335193351043976,2026-02-14T...
32,1.497775961786073,0x1.7f6e3ed49b2b3p+0,0.335253108961539,2026-02-14T...
33,1.497708971784558,0x1.7f69daecbd8f1p+0,0.335312851052224,2026-02-14T...
34,1.497642005519855,0x1.7f65776ad2d96p+0,0.335372577318111,2026-02-14T...
35,1.497575062984066,0x1.7f61144ed25b2p+0,0.335432287761278,2026-02-14T...
36,1.497508144169295,0x1.7f5cb198b366p+0,0.335491982383807,2026-02-14T...
37,1.497441249067649,0x1.7f584f486d4c4p+0,0.335551661187779,2026-02-14T...
38,1.497374377671238,0x1.7f53ed5df760bp+0,0.335611324175278,2026-02-14T...
39,1.497307529972171,0x1.7f4f8bd948f6dp+0,0.335670971348389,2026-02-14T...
40,1.497240705962563,0x1.7f4b2aba5962ap+0,0.335730602709197,2026-02-14T...
41,1.497173905634528,0x1.7f46ca011ff8cp+0,0.335790218259790,2026-02-14T...
42,1.497107128980184,0x1.7f4269ad940e6p+0,0.335849818002255,2026-02-14T...
43,1.497040375991650,0x1.7f3e09bfacf96p+0,0.335909401938682,2026-02-14T...
44,1.496973646661047,0x1.7f39aa3762102p+0,0.335968970071163,2026-02-14T...
45,1.496906940980500,0x1.7f354b14aaa99p+0,0.336028522401789,2026-02-14T...
46,1.496840258942133,0x1.7f30ec577e1d5p+0,0.336088058932654,2026-02-14T...
47,1.496773600538076,0x1.7f2c8dffd3c39p+0,0.336147579665853,2026-02-14T...
48,1.496706965760457,0x1.7f28300da2f52p+0,0.336207084603480,2026-02-14T...
49,1.496640354601408,0x1.7f23d280e30b5p+0,0.336266573747634,2026-02-14T...
50,1.496573767053065,0x1.7f1f75598b601p+0,0.336326047100412,2026-02-14T...
51,1.496507203107562,0x1.7f1b1897934dfp+0,0.336385504663915,2026-02-14T...
52,1.496440662757039,0x1.7f16bc3af2302p+0,0.336444946440242,2026-02-14T...
53,1.496374145993635,0x1.7f1260439f625p+0,0.336504372431496,2026-02-14T...
54,1.496307652809495,0x1.7f0e04b19240ep+0,0.336563782639781,2026-02-14T...
55,1.496241183196761,0x1.7f09a984c228bp+0,0.336623177067200,2026-02-14T...
56,1.496174737147581,0x1.7f054ebd26774p+0,0.336682555715859,2026-02-14T...
57,1.496108314654104,0x1.7f00f45ab68abp+0,0.336741918587867,2026-02-14T...
58,1.496041915708480,0x1.7efc9a5d69c1bp+0,0.336801265685330,2026-02-14T...
59,1.495975540302864,0x1.7ef840c5377b9p+0,0.336860597010358,2026-02-14T...
60,1.495909188429409,0x1.7ef3e79217182p+0,0.336919912565062,2026-02-14T...
61,1.495842860080273,0x1.7eef8ec3fff7fp+0,0.336979212351553,2026-02-14T...
62,1.495776555247616,0x1.7eeb365ae97cp+0,0.337038496371946,2026-02-14T...
63,1.495710273923599,0x1.7ee6de56cb06p+0,0.337097764628354,2026-02-14T...
64,1.495644016100386,0x1.7ee286b79bf83p+0,0.337157017122892,2026-02-14T...
65,1.495577781770142,0x1.7ede2f7d53b56p+0,0.337216253857678,2026-02-14T...
66,1.495511570925036,0x1.7ed9d8a7e9a1p+0,0.337275474834829,2026-02-14T...
67,1.495445383557236,0x1.7ed58237551f2p+0,0.337334680056466,2026-02-14T...
68,1.495379219658916,0x1.7ed12c2b8d945p+0,0.337393869524707,2026-02-14T...
69,1.495313079222249,0x1.7eccd6848a65dp+0,0.337453043241676,2026-02-14T...
70,1.495246962239411,0x1.7ec8814242f97p+0,0.337512201209494,2026-02-14T...
