131988786147467,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988786566829,GEO_STEP,VEL_R,bfba447340295b5a
131988786975778,GEO_STEP,COORD_R,4023f2415b11754d
131988787520451,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988788110335,GEO_STEP,VEL_R,bfba47bea22cd9ad
131988788624058,GEO_STEP,COORD_R,4023f1fe140ab76a
131988789155835,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988789644357,GEO_STEP,VEL_R,bfba4b0a1a6a1ee4
131988790118754,GEO_STEP,COORD_R,4023f1bac494b13c
131988790574312,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988791060762,GEO_STEP,VEL_R,bfba4e55a8e4d56d
131988791569226,GEO_STEP,COORD_R,4023f1776caf29d3
131988791992613,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988792489964,GEO_STEP,VEL_R,bfba51a14da0a82a
131988792875012,GEO_STEP,COORD_R,4023f1340c59e838
131988793294523,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988793718897,GEO_STEP,VEL_R,bfba54ed08a1426e
131988794256652,GEO_STEP,COORD_R,4023f0f0a394b368
131988794686526,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988795193843,GEO_STEP,VEL_R,bfba5838d9ea5002
131988795677506,GEO_STEP,COORD_R,4023f0ad325f5258
131988796248402,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988796850421,GEO_STEP,VEL_R,bfba5b84c17f7d22
131988797432101,GEO_STEP,COORD_R,4023f069b8b98bf3
131988798074796,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988798614999,GEO_STEP,VEL_R,bfba5ed0bf64767d
131988799114102,GEO_STEP,COORD_R,4023f02636a3271b
131988799656265,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988800250401,GEO_STEP,VEL_R,bfba621cd39ce936
131988800915469,GEO_STEP,COORD_R,4023efe2ac1beaa8
131988801570535,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988802209703,GEO_STEP,VEL_R,bfba6568fe2c82e5
131988802674800,GEO_STEP,COORD_R,4023ef9f19239d69
131988803260351,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988803889991,GEO_STEP,VEL_R,bfba68b53f16f195
131988804599036,GEO_STEP,COORD_R,4023ef5b7dba0624
131988805304228,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988805817797,GEO_STEP,VEL_R,bfba6c01965fe3c6
131988806376593,GEO_STEP,COORD_R,4023ef17d9deeb95
131988806835272,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988807323015,GEO_STEP,VEL_R,bfba6f4e040b086b
131988807746936,GEO_STEP,COORD_R,4023eed42d92146f
131988808400748,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988809088466,GEO_STEP,VEL_R,bfba729a881c0eed
131988809743355,GEO_STEP,COORD_R,4023ee9078d3475a
131988810412517,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988811173189,GEO_STEP,VEL_R,bfba75e72296a729
131988811892606,GEO_STEP,COORD_R,4023ee4cbba24af7
131988812411152,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988812946087,GEO_STEP,VEL_R,bfba7933d37e816f
131988813540421,GEO_STEP,COORD_R,4023ee08f5fee5dc
131988814105327,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988814442595,GEO_STEP,VEL_R,bfba7c809ad74e86
131988814855283,GEO_STEP,COORD_R,4023edc527e8de96
131988815167975,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988815559832,GEO_STEP,VEL_R,bfba7fcd78a4bfa8
131988816282229,GEO_STEP,COORD_R,4023ed81515ffba9
131988816793912,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988817470682,GEO_STEP,VEL_R,bfba831a6cea8685
131988818862730,GEO_STEP,COORD_R,4023ed3d7264038e
131988819374602,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988819636862,GEO_STEP,VEL_R,bfba866777ac5542
131988819829845,GEO_STEP,COORD_R,4023ecf98af4bcb6
131988820061787,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988820267877,GEO_STEP,VEL_R,bfba89b498edde78
131988820460072,GEO_STEP,COORD_R,4023ecb59b11ed88
131988820722106,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988820959177,GEO_STEP,VEL_R,bfba8d01d0b2d536
131988821206593,GEO_STEP,COORD_R,4023ec71a2bb5c62
131988821494143,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988821773703,GEO_STEP,VEL_R,bfba904f1efeed01
131988822141106,GEO_STEP,COORD_R,4023ec2da1f0cf98
131988822376677,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988822560318,GEO_STEP,VEL_R,bfba939c83d5d9d2
131988822760997,GEO_STEP,COORD_R,4023ebe998b20d75
131988823070912,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988823358612,GEO_STEP,VEL_R,bfba96e9ff3b5019
131988823629864,GEO_STEP,COORD_R,4023eba586fedc39
131988824014085,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988824293994,GEO_STEP,VEL_R,bfba9a37913304ba
131988824574489,GEO_STEP,COORD_R,4023eb616cd7021d
131988824852838,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988825148795,GEO_STEP,VEL_R,bfba9d8539c0ad10
131988825422934,GEO_STEP,COORD_R,4023eb1d4a3a454e
131988825703893,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988825910614,GEO_STEP,VEL_R,bfbaa0d2f8e7feeb
131988826584894,GEO_STEP,COORD_R,4023ead91f286bf2
131988827276838,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988827897515,GEO_STEP,VEL_R,bfbaa420ceacb092
131988828514663,GEO_STEP,COORD_R,4023ea94eba13c23
131988829146997,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988829535683,GEO_STEP,VEL_R,bfbaa76ebb1278c1
131988829878666,GEO_STEP,COORD_R,4023ea50afa47bf4
131988830416474,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988831329557,GEO_STEP,VEL_R,bfbaaabcbe1d0eaa
131988831966995,GEO_STEP,COORD_R,4023ea0c6b31f16c
131988832632249,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988833404752,GEO_STEP,VEL_R,bfbaae0ad7d029f6
131988834361930,GEO_STEP,COORD_R,4023e9c81e49628a
131988834758615,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988835246191,GEO_STEP,VEL_R,bfbab159082f82c5
131988835701840,GEO_STEP,COORD_R,4023e983c8ea9544
131988836381890,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988836940603,GEO_STEP,VEL_R,bfbab4a74f3ed1ac
131988837646145,GEO_STEP,COORD_R,4023e93f6b154f84
131988838304266,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988838894662,GEO_STEP,VEL_R,bfbab7f5ad01cfb8
131988839511160,GEO_STEP,COORD_R,4023e8fb04c9572d
131988840119993,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988840684462,GEO_STEP,VEL_R,bfbabb44217c366b
131988841296509,GEO_STEP,COORD_R,4023e8b696067218
131988842102468,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988843387514,GEO_STEP,VEL_R,bfbabe92acb1bfbf
131988844090269,GEO_STEP,COORD_R,4023e8721ecc6614
131988844715136,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988845089131,GEO_STEP,VEL_R,bfbac1e14ea62625
131988845398170,GEO_STEP,COORD_R,4023e82d9f1af8e6
131988845727712,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988846043513,GEO_STEP,VEL_R,bfbac530075d2484
131988846351609,GEO_STEP,COORD_R,4023e7e916f1f049
131988846630973,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988847316376,GEO_STEP,VEL_R,bfbac87ed6da763b
131988847601553,GEO_STEP,COORD_R,4023e7a4865111f1
131988847895345,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988848245286,GEO_STEP,VEL_R,bfbacbcdbd21d720
131988848525181,GEO_STEP,COORD_R,4023e75fed382386
131988848806623,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988849027891,GEO_STEP,VEL_R,bfbacf1cba370380
131988849350543,GEO_STEP,COORD_R,4023e71b4ba6eaa7
131988849634140,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988849903872,GEO_STEP,VEL_R,bfbad26bce1db820
131988850364594,GEO_STEP,COORD_R,4023e6d6a19d2cea
131988850832624,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988851206550,GEO_STEP,VEL_R,bfbad5baf8d9b23d
131988851490900,GEO_STEP,COORD_R,4023e691ef1aafdb
131988851809951,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988852206899,GEO_STEP,VEL_R,bfbad90a3a6eaf8a
131988852526871,GEO_STEP,COORD_R,4023e64d341f38fd
131988852828990,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988853146237,GEO_STEP,VEL_R,bfbadc5992e06e33
131988853467111,GEO_STEP,COORD_R,4023e60870aa8dc9
131988853767395,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988854116068,GEO_STEP,VEL_R,bfbadfa90232acdb
131988854410675,GEO_STEP,COORD_R,4023e5c3a4bc73ae
131988854695077,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988855086534,GEO_STEP,VEL_R,bfbae2f888692a9e
131988855381276,GEO_STEP,COORD_R,4023e57ed054b011
131988855665352,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988855942065,GEO_STEP,VEL_R,bfbae6482587a70f
131988856339442,GEO_STEP,COORD_R,4023e539f373084f
131988856630403,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988856943362,GEO_STEP,VEL_R,bfbae997d991e23a
131988857260129,GEO_STEP,COORD_R,4023e4f50e1741bb
131988857556785,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988857842652,GEO_STEP,VEL_R,bfbaece7a48b9ca3
131988858154433,GEO_STEP,COORD_R,4023e4b02041219d
131988858437113,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988858715604,GEO_STEP,VEL_R,bfbaf03786789747
131988859022801,GEO_STEP,COORD_R,4023e46b29f06d35
131988859342506,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988859630916,GEO_STEP,VEL_R,bfbaf3877f5c939a
131988860060225,GEO_STEP,COORD_R,4023e4262b24e9b9
131988860474428,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988860780316,GEO_STEP,VEL_R,bfbaf6d78f3b538a
131988862360560,GEO_STEP,COORD_R,4023e3e123de5c54
131988862651620,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988862940082,GEO_STEP,VEL_R,bfbafa27b618997d
131988863331494,GEO_STEP,COORD_R,4023e39c141c8a2a
131988864378989,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988864682508,GEO_STEP,VEL_R,bfbafd77f3f82852
131988865574522,GEO_STEP,COORD_R,4023e356fbdf3853
131988865906266,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988866219568,GEO_STEP,VEL_R,bfbb00c848ddc362
131988866530017,GEO_STEP,COORD_R,4023e311db262bde
131988866859959,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988867168612,GEO_STEP,VEL_R,bfbb0418b4cd2e7d
131988867500340,GEO_STEP,COORD_R,4023e2ccb1f129d1
131988867808618,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988868134363,GEO_STEP,VEL_R,bfbb076937ca2dee
131988868438324,GEO_STEP,COORD_R,4023e287803ff728
131988868735021,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988869038142,GEO_STEP,VEL_R,bfbb0ab9d1d88678
131988869329347,GEO_STEP,COORD_R,4023e242461258d5
131988869678725,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988869973770,GEO_STEP,VEL_R,bfbb0e0a82fbfd58
131988870281519,GEO_STEP,COORD_R,4023e1fd036813c1
131988870576929,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988870867336,GEO_STEP,VEL_R,bfbb115b4b385844
131988871172574,GEO_STEP,COORD_R,4023e1b7b840ecca
131988871459758,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988871752873,GEO_STEP,VEL_R,bfbb14ac2a915d6c
131988872065026,GEO_STEP,COORD_R,4023e172649ca8c7
131988872408377,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988872687082,GEO_STEP,VEL_R,bfbb17fd210ad37a
131988873850169,GEO_STEP,COORD_R,4023e12d087b0c82
131988874177633,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988874480013,GEO_STEP,VEL_R,bfbb1b4e2ea88192
131988874768489,GEO_STEP,COORD_R,4023e0e7a3dbdcbe
131988875062828,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988875440407,GEO_STEP,VEL_R,bfbb1e9f536e2f50
131988875740227,GEO_STEP,COORD_R,4023e0a236bede33
131988876137046,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988876423644,GEO_STEP,VEL_R,bfbb21f08f5fa4cc
131988876697199,GEO_STEP,COORD_R,4023e05cc123d590
131988876981359,GEO_STEP,COORD_TH,3ff91eb851eb851f
