timestamp_ns,phase,fragment,neurons_active,cpu_ns,ink_pixels,total_pixels,ink_ratio,merkle_prefix
1771966411321050636,train,1235128733,2952247,2687300241,51200,102400,0.50000000,ffa9658106359d43
1771966414346918340,train,1238314834,3030589,2753999266,51200,102400,0.50000000,c6893bac4e51ba8b
1771966417321800188,train,1238390590,3292757,2706299587,51200,102400,0.50000000,bba44e532b510734
1771966420293070778,train,1239284127,1648865,2694364058,51200,102400,0.50000000,2a51305eda1e4287
1771966423372940052,train,1240194203,2511783,2798948137,51200,102400,0.50000000,228d9fecf33d7e72
1771966426403736898,train,1242812707,4321117,2740287922,51200,102400,0.50000000,60aa6c68c5f35cff
1771966429447822641,train,1242962297,3660705,2731016286,51201,102400,0.50000977,72f3a2b8dbf5b63d
1771966432449435268,train,1253813461,3128005,2728754822,51200,102400,0.50000000,eac7535707af77d1
1771966435613180958,train,1255754809,3001792,2707072909,51200,102400,0.50000000,11696fdad8ffa18e
1771966438653876142,train,1261544272,3923440,2744676455,51200,102400,0.50000000,78ab854085cbe724
1771966441976849202,train,1267989019,2432754,3009993916,51200,102400,0.50000000,ea40a61cb232276e
1771966444999383994,train,1271223370,2802833,2722609955,51200,102400,0.50000000,c46aa211795b21b4
1771966448002077220,train,1272760814,2944889,2723591051,51200,102400,0.50000000,1b9b5803e6b98df8
1771966450992280964,train,1294570892,1581189,2704586052,51200,102400,0.50000000,c523927409887924
1771966454028163361,train,1296996509,3251968,2748517621,51200,102400,0.50000000,5d50b97b2dcc01f5
1771966457037255437,train,1306752115,3167049,2724076557,51200,102400,0.50000000,7cc046d7f915e41f
1771966460106999354,train,1311779219,2195471,2764573494,51200,102400,0.50000000,d8f1b9e439078cc8
1771966463134574101,train,1316805721,1195935,2761082201,51200,102400,0.50000000,aadf86e52d4cd303
1771966466134136594,train,1329351767,1404566,2726004148,51200,102400,0.50000000,299546efb7592dda
1771966469169504216,train,1330705651,3912130,2740915694,51200,102400,0.50000000,08bf1a50422162d4
1771966472191579428,train,1332121747,4372056,2736051312,51200,102400,0.50000000,29b165a2ef2f9040
1771966475188084742,train,1341999317,2374051,2713177746,51200,102400,0.50000000,a4d2bd3db4a13159
