step,timestamp_ns,radius_m,shell_thickness_m,v_over_c,v_m_s,negative_energy_j,power_proxy_w,feasible_now,warning,chain_hash,prev_hash
458,1772577260299782197,81.52881096770253,1.1683008504985615,0.35181408707964495,105471209.9246328,-8.52257952978577e+46,4.808015831334998e+37,False,requires_exotic_negative_energy,592949760d8a65da93537571202b2d93198ffd97e83fa01123cc30c1b2c6b51d,3924266811410861a0da2f7e2f2249e6290b466fecbd0bd40960dfeb26f2ac96
459,1772577260299783197,81.29024092924078,1.1723227223268302,0.3513694641471827,105337915.32282677,-8.422378593568948e+46,4.7514874427219785e+37,False,requires_exotic_negative_energy,be07066b0d8f63cbe6bb9e34d839f3cbb5a23c5c4afa22bd0c8bb04bd048afd0,592949760d8a65da93537571202b2d93198ffd97e83fa01123cc30c1b2c6b51d
460,1772577260299784197,80.90963328930877,1.1774479998752279,0.3508969404655303,105196256.286841,-8.285047075966392e+46,4.674011825337981e+37,False,requires_exotic_negative_energy,15a70a92be94dbffaf27f448f3af4f86ea98db1917f86b3d1bdc5d243a7fb9e0,be07066b0d8f63cbe6bb9e34d839f3cbb5a23c5c4afa22bd0c8bb04bd048afd0
461,1772577260299785197,80.42888766142218,1.1834723545016483,0.3504061429860435,105049118.90408544,-8.122440111116802e+46,4.582277056709564e+37,False,requires_exotic_negative_energy,bfe86e167b4fc951866bdf0a22a63b689d9d0b94d8a2247ff39323c6f4d27434,15a70a92be94dbffaf27f448f3af4f86ea98db1917f86b3d1bdc5d243a7fb9e0
462,1772577260299786197,79.9009274603903,1.190155614198087,0.3499070709609161,104899500.87495346,-7.948449459157573e+46,4.484120177539283e+37,False,requires_exotic_negative_energy,29e48b2f313bfeb79113efd3bebb04028f4e306595d73e8a0890c4e0c093d95b,bfe86e167b4fc951866bdf0a22a63b689d9d0b94d8a2247ff39323c6f4d27434
463,1772577260299787197,79.38387376959139,1.1972313384906912,0.3494098922236249,104750450.4392356,-7.777391833258579e+46,4.387617965912091e+37,False,requires_exotic_negative_energy,d41f670c10c85e1718e68217512b485e8bb5f65ecb831543fc8f4782411a5523,29e48b2f313bfeb79113efd3bebb04028f4e306595d73e8a0890c4e0c093d95b
464,1772577260299788197,78.93464701714707,1.2044174405806556,0.3489247360347864,104605004.2728698,-7.622525958561805e+46,4.300250335645534e+37,False,requires_exotic_negative_energy,90681176b2671c7a1a68f421c028240e52e20f52aacb98707a268aab0e2cfb96,d41f670c10c85e1718e68217512b485e8bb5f65ecb831543fc8f4782411a5523
465,1772577260299789197,78.60270082756057,1.2114274332547093,0.34846148671387756,104466125.6202877,-7.494871513124267e+46,4.228234041463833e+37,False,requires_exotic_negative_energy,0342b6548f4cc3d6cd640036160ac08e9fe82c770e9665b1fa3d873933d01ed2,90681176b2671c7a1a68f421c028240e52e20f52aacb98707a268aab0e2cfb96
466,1772577260299790197,78.42457786469998,1.2179818502262485,0.3480295822612589,104336643.92281601,-7.402407193898632e+46,4.176070267677183e+37,False,requires_exotic_negative_energy,6db4854d669ebee86983f1e935b49786bf2e08af6f8ca8dc827390ecc27c21ae,0342b6548f4cc3d6cd640036160ac08e9fe82c770e9665b1fa3d873933d01ed2
467,1772577260299791197,78.41988699217994,1.2238193875742769,0.34763782207327215,104219197.17311291,-7.349642660667965e+46,4.1463031402224694e+37,False,requires_exotic_negative_energy,1b1558448d7b6be879a66d4d2e04e207b8f450f8f14e5a0972b28f9ee302abca,6db4854d669ebee86983f1e935b49786bf2e08af6f8ca8dc827390ecc27c21ae
468,1772577260299792197,78.58914460989635,1.2287073211061428,0.347294187667922,104116178.17007963,-7.337511512610707e+46,4.139459349359886e+37,False,requires_exotic_negative_energy,5f9fb90a1f5ffa585e336fa72f8dc7bddb517eea6badd5e90bec8eb22c05909f,1b1558448d7b6be879a66d4d2e04e207b8f450f8f14e5a0972b28f9ee302abca
469,1772577260299793197,78.91371780557199,1.2324507843366974,0.34700568007358634,104029685.76922207,-7.363523529810051e+46,4.1541340367667076e+37,False,requires_exotic_negative_energy,f1b99a94e1b2392a041136dd41b3434590ed7f4fd6b55a3af25c30bba304fe58,5f9fb90a1f5ffa585e336fa72f8dc7bddb517eea6badd5e90bec8eb22c05909f
470,1772577260299794197,79.3578755795381,1.2349005372001196,0.34677817719371046,103961482.121662,-7.422132340064028e+46,4.1871982148799146e+37,False,requires_exotic_negative_energy,c13f6cc9e265bb9d6f4b2f75ea8f1e9274c5ffe819333cf67d1e9b2c428e35b1,f1b99a94e1b2392a041136dd41b3434590ed7f4fd6b55a3af25c30bba304fe58
471,1772577260299795197,79.87272233140044,1.2359589157803867,0.34661631405346416,103912956.77298796,-7.505299480914343e+46,4.2341169826611533e+37,False,requires_exotic_negative_energy,fdbf6cff9a1b55c605637e66a116ed598968282f49f353809fecc6b836d53523,c13f6cc9e265bb9d6f4b2f75ea8f1e9274c5ffe819333cf67d1e9b2c428e35b1
472,1772577260299796197,80.40158058635411,1.2355837258634106,0.34652338836815355,103885098.35337736,-7.603248522722765e+46,4.2893749643594245e+37,False,requires_exotic_negative_energy,4e00d6143ecd48672994a61cc81517e54b940683d9aaa8e4a4483a47c98644c7,fdbf6cff9a1b55c605637e66a116ed598968282f49f353809fecc6b836d53523
473,1772577260299797197,80.88623039776044,1.2337899250872006,0.34650129335728674,103878474.43576007,-7.705392764731817e+46,4.346999669525603e+37,False,requires_exotic_negative_energy,61b007e031c74c09d12ae80e2102c8f32dca95e3c58a92a94bb83a857d7f0eb1,4e00d6143ecd48672994a61cc81517e54b940683d9aaa8e4a4483a47c98644c7
474,1772577260299798197,81.27331855444393,1.230649026628039,0.3465504791731059,103893219.97238322,-7.801387845502222e+46,4.401155323510561e+37,False,requires_exotic_negative_energy,0a1290a15f44c9ce3e7b623eee762cd0f28fa9685df829ccc01d051163097852,61b007e031c74c09d12ae80e2102c8f32dca95e3c58a92a94bb83a857d7f0eb1
475,1772577260299799197,81.52023202802602,1.2262862481958134,0.34666994372942017,103929034.54536456,-7.882217675922249e+46,4.446755496902356e+37,False,requires_exotic_negative_energy,b56cf7a288a6c66493c8aacd37944312f155a171c8a14a86d480737edb457652,0a1290a15f44c9ce3e7b623eee762cd0f28fa9685df829ccc01d051163097852
476,1772577260299800197,81.5997890753427,1.2208755199990737,0.34685725311758747,103985188.48724972,-7.941185401944241e+46,4.480022157455144e+37,False,requires_exotic_negative_energy,07448ff6d13cd762d6176a09cd38ed3a019d333e46b9447ffc4e86e7e353fd72,b56cf7a288a6c66493c8aacd37944312f155a171c8a14a86d480737edb457652
477,1772577260299801197,81.50323157074104,1.2146325506964841,0.34710859119370147,104060537.74687691,-7.974666973610492e+46,4.498910796284115e+37,False,requires_exotic_negative_energy,1c06eb5a48f7d3a442abc2d06fbc465723ebf2e6ba9fd9541f97e8a6845349cd,07448ff6d13cd762d6176a09cd38ed3a019d333e46b9447ffc4e86e7e353fd72
