step,energy,invariant_density,regime
419,-100.00,1.8571,3
420,-105.00,1.8636,3
421,-110.00,1.8696,3
422,-115.00,1.9167,3
423,-120.00,1.8800,3
424,-125.00,1.9615,3
425,-130.00,1.9259,3
426,-135.00,1.8571,3
427,-140.00,1.9310,3
428,-145.00,1.8667,3
429,-150.00,2.0645,3
430,-155.00,2.1562,3
431,-160.00,2.1515,3
432,-165.00,2.1765,3
433,-170.00,2.1429,3
434,-175.00,2.1389,3
435,-180.00,2.1351,3
436,-185.00,2.1842,3
437,-190.00,2.1795,3
438,-195.00,2.1750,3
439,-200.00,2.1220,3
440,-205.00,2.0714,3
441,-210.00,2.0698,3
442,-215.00,2.0455,3
443,-220.00,2.0444,3
444,-225.00,2.0000,3
445,-230.00,2.0426,3
446,-235.00,2.0417,3
447,-240.00,2.0408,3
448,-245.00,2.0400,3
449,-250.00,2.0196,3
450,-255.00,1.9808,3
451,-260.00,1.9811,3
452,-265.00,1.9630,3
453,-270.00,1.9636,3
454,-275.00,1.9286,3
455,-280.00,1.9123,3
456,-285.00,1.9483,3
457,-290.00,1.9661,3
458,-295.00,1.9500,3
459,-300.00,1.9180,3
460,-305.00,1.9032,3
461,-310.00,1.8889,3
462,-315.00,1.8906,3
463,-320.00,1.8615,3
464,-325.00,1.8485,3
465,-330.00,1.8358,3
466,-335.00,1.8088,3
467,-340.00,1.7971,3
468,-345.00,1.7714,3
469,-350.00,1.8169,3
470,-355.00,1.8056,3
471,-360.00,1.8082,3
472,-365.00,1.7838,3
473,-370.00,1.7733,3
474,-375.00,1.8026,3
475,-380.00,1.7792,3
476,-385.00,1.7564,3
477,-390.00,1.7722,3
478,-395.00,1.7750,3
479,-400.00,1.7654,3
480,-405.00,1.7805,3
481,-410.00,1.7590,3
482,-415.00,1.7500,3
483,-420.00,1.7529,3
484,-425.00,1.7442,3
485,-430.00,1.7241,3
486,-435.00,1.7159,3
487,-440.00,1.7079,3
488,-445.00,1.6889,3
489,-450.00,1.6703,3
490,-455.00,1.6630,3
491,-460.00,1.6559,3
492,-465.00,1.6489,3
493,-470.00,1.6421,3
494,-475.00,1.6354,3
495,-480.00,1.6289,3
496,-485.00,1.6122,3
497,-490.00,1.6061,3
498,-495.00,1.6100,3
499,-500.00,1.6238,3
500,-505.00,1.6275,3
501,-510.00,1.6311,3
502,-515.00,1.6442,3
503,-520.00,1.6571,3
504,-525.00,1.6792,3
505,-530.00,1.7009,3
506,-535.00,1.6852,3
507,-540.00,1.6972,3
508,-545.00,1.6818,3
509,-550.00,1.6667,3
510,-555.00,1.6518,3
511,-560.00,1.6372,3
512,-565.00,1.6228,3
513,-570.00,1.6435,3
514,-575.00,1.6466,3
515,-580.00,1.6325,3
516,-585.00,1.6186,3
517,-590.00,1.6050,3
518,-595.00,1.5917,3
519,-600.00,1.5868,3
520,-605.00,1.5820,3
521,-610.00,1.5691,3
522,-615.00,1.5645,3
523,-620.00,1.5600,3
524,-625.00,1.5635,3
525,-630.00,1.5669,3
526,-635.00,1.5625,3
527,-640.00,1.5659,3
528,-645.00,1.5692,3
529,-650.00,1.5573,3
530,-655.00,1.5530,3
531,-660.00,1.5564,3
532,-665.00,1.5522,3
533,-670.00,1.5556,3
534,-675.00,1.5588,3
535,-680.00,1.5693,3
536,-685.00,1.5652,3
537,-690.00,1.5755,3
538,-695.00,1.5714,3
539,-700.00,1.5674,3
540,-705.00,1.5563,3
541,-710.00,1.5455,3
542,-715.00,1.5486,3
543,-720.00,1.5655,3
544,-725.00,1.5548,3
545,-730.00,1.5510,3
546,-735.00,1.5405,3
547,-740.00,1.5302,3
548,-745.00,1.5200,3
549,-750.00,1.5099,3
550,-755.00,1.5066,3
551,-760.00,1.5098,3
552,-765.00,1.5065,3
553,-770.00,1.4968,3
554,-775.00,1.4936,3
555,-780.00,1.4968,3
556,-785.00,1.5000,3
557,-790.00,1.5031,3
558,-795.00,1.5125,3
559,-800.00,1.5093,3
560,-805.00,1.5000,3
561,-810.00,1.4908,3
562,-815.00,1.4878,3
563,-820.00,1.4848,3
564,-825.00,1.4880,3
565,-830.00,1.4850,3
566,-835.00,1.4821,3
567,-840.00,1.4793,3
568,-845.00,1.4765,3
569,-850.00,1.4678,3
570,-855.00,1.4593,3
571,-860.00,1.4682,3
572,-865.00,1.4655,3
573,-870.00,1.4629,3
574,-875.00,1.4716,3
575,-880.00,1.4633,3
576,-885.00,1.4551,3
577,-890.00,1.4469,3
578,-895.00,1.4500,3
579,-900.00,1.4475,3
580,-905.00,1.4451,3
581,-910.00,1.4372,3
582,-915.00,1.4293,3
583,-920.00,1.4324,3
584,-925.00,1.4355,3
585,-930.00,1.4385,3
586,-935.00,1.4415,3
587,-940.00,1.4497,3
588,-945.00,1.4526,3
589,-950.00,1.4555,3
590,-955.00,1.4531,3
591,-960.00,1.4611,3
592,-965.00,1.4588,3
593,-970.00,1.4615,3
594,-975.00,1.4592,3
595,-980.00,1.4670,3
596,-985.00,1.4596,3
597,-990.00,1.4623,3
598,-995.00,1.4600,3
599,-1000.00,1.4527,3
600,-1005.00,1.4455,3
601,-1010.00,1.4384,3
602,-1015.00,1.4314,3
603,-1020.00,1.4341,3
604,-1025.00,1.4417,3
605,-1030.00,1.4493,3
606,-1035.00,1.4471,3
607,-1040.00,1.4402,3
608,-1045.00,1.4333,3
609,-1050.00,1.4313,3
610,-1055.00,1.4292,3
611,-1060.00,1.4272,3
612,-1065.00,1.4252,3
613,-1070.00,1.4279,3
614,-1075.00,1.4352,3
615,-1080.00,1.4424,3
616,-1085.00,1.4450,3
617,-1090.00,1.4475,3
618,-1095.00,1.4500,3
619,-1100.00,1.4434,3
620,-1105.00,1.4414,3
621,-1110.00,1.4350,3
622,-1115.00,1.4375,3
623,-1120.00,1.4311,3
624,-1125.00,1.4292,3
625,-1130.00,1.4273,3
626,-1135.00,1.4254,3
627,-1140.00,1.4192,3
628,-1145.00,1.4130,3
629,-1150.00,1.4069,3
630,-1155.00,1.4052,3
631,-1160.00,1.4034,3
632,-1165.00,1.3974,3
633,-1170.00,1.3915,3
634,-1175.00,1.3898,3
635,-1180.00,1.3966,3
636,-1185.00,1.3908,3
637,-1190.00,1.3849,3
638,-1195.00,1.3917,3
639,-1200.00,1.3942,3
640,-1205.00,1.3926,3
641,-1210.00,1.3868,3
642,-1215.00,1.3852,3
643,-1220.00,1.3796,3
644,-1225.00,1.3740,3
645,-1230.00,1.3684,3
646,-1235.00,1.3669,3
647,-1240.00,1.3695,3
648,-1245.00,1.3720,3
649,-1250.00,1.3705,3
650,-1255.00,1.3690,3
651,-1260.00,1.3676,3
652,-1265.00,1.3622,3
653,-1270.00,1.3569,3
654,-1275.00,1.3516,3
655,-1280.00,1.3463,3
656,-1285.00,1.3450,3
657,-1290.00,1.3436,3
658,-1295.00,1.3385,3
659,-1300.00,1.3372,3
660,-1305.00,1.3359,3
661,-1310.00,1.3308,3
662,-1315.00,1.3258,3
663,-1320.00,1.3208,3
664,-1325.00,1.3233,3
665,-1330.00,1.3221,3
666,-1335.00,1.3246,3
667,-1340.00,1.3234,3
668,-1345.00,1.3222,3
669,-1350.00,1.3210,3
670,-1355.00,1.3199,3
671,-1360.00,1.3187,3
672,-1365.00,1.3175,3
673,-1370.00,1.3200,3
674,-1375.00,1.3225,3
675,-1380.00,1.3285,3
676,-1385.00,1.3273,3
677,-1390.00,1.3297,3
678,-1395.00,1.3321,3
679,-1400.00,1.3310,3
680,-1405.00,1.3298,3
681,-1410.00,1.3286,3
682,-1415.00,1.3275,3
683,-1420.00,1.3228,3
684,-1425.00,1.3217,3
685,-1430.00,1.3240,3
686,-1435.00,1.3264,3
687,-1440.00,1.3253,3
688,-1445.00,1.3207,3
689,-1450.00,1.3196,3
690,-1455.00,1.3151,3
691,-1460.00,1.3106,3
692,-1465.00,1.3095,3
693,-1470.00,1.3085,3
694,-1475.00,1.3108,3
695,-1480.00,1.3232,3
696,-1485.00,1.3255,3
697,-1490.00,1.3278,3
698,-1495.00,1.3267,3
699,-1500.00,1.3223,3
700,-1505.00,1.3179,3
701,-1525.00,1.3201,3
702,-1545.00,1.3158,3
703,-1565.00,1.3115,3
704,-1585.00,1.3072,3
705,-1605.00,1.3062,3
706,-1625.00,1.3052,3
707,-1645.00,1.3010,3
708,-1665.00,1.3000,3
709,-1685.00,1.2958,3
710,-1705.00,1.2917,3
711,-1725.00,1.2939,3
712,-1745.00,1.2930,3
713,-1765.00,1.2984,3
714,-1785.00,1.2975,3
715,-1805.00,1.2965,3
716,-1825.00,1.2956,3
717,-1845.00,1.2947,3
718,-1865.00,1.2937,3
719,-1885.00,1.2928,3
720,-1905.00,1.2888,3
721,-1925.00,1.2848,3
722,-1945.00,1.2840,3
723,-1965.00,1.2800,3
724,-1985.00,1.2761,3
725,-2005.00,1.2722,3
726,-2025.00,1.2683,3
727,-2045.00,1.2644,3
728,-2065.00,1.2636,3
729,-2085.00,1.2598,3
730,-2105.00,1.2560,3
731,-2125.00,1.2553,3
732,-2145.00,1.2575,3
733,-2165.00,1.2537,3
734,-2185.00,1.2500,3
735,-2205.00,1.2493,3
736,-2225.00,1.2456,3
737,-2245.00,1.2478,3
738,-2265.00,1.2441,3
739,-2285.00,1.2405,3
740,-2305.00,1.2398,3
741,-2325.00,1.2420,3
742,-2345.00,1.2413,3
743,-2365.00,1.2406,3
744,-2385.00,1.2399,3
745,-2405.00,1.2421,3
746,-2425.00,1.2385,3
747,-2445.00,1.2378,3
748,-2465.00,1.2371,3
749,-2485.00,1.2336,3
750,-2505.00,1.2358,3
751,-2525.00,1.2408,3
752,-2545.00,1.2373,3
753,-2565.00,1.2366,3
754,-2585.00,1.2388,3
755,-2605.00,1.2353,3
756,-2625.00,1.2374,3
757,-2645.00,1.2368,3
758,-2665.00,1.2333,3
759,-2685.00,1.2299,3
760,-2705.00,1.2320,3
761,-2725.00,1.2314,3
762,-2745.00,1.2308,3
763,-2765.00,1.2356,3
764,-2785.00,1.2350,3
765,-2805.00,1.2343,3
766,-2825.00,1.2337,3
767,-2845.00,1.2304,3
768,-2865.00,1.2270,3
769,-2885.00,1.2264,3
770,-2905.00,1.2231,3
771,-2925.00,1.2225,3
772,-2945.00,1.2193,3
773,-2965.00,1.2160,3
774,-2985.00,1.2154,3
775,-3005.00,1.2149,3
776,-3025.00,1.2143,3
777,-3045.00,1.2111,3
778,-3065.00,1.2079,3
779,-3085.00,1.2100,3
780,-3105.00,1.2094,3
781,-3125.00,1.2063,3
782,-3145.00,1.2031,3
783,-3165.00,1.2026,3
784,-3185.00,1.1995,3
785,-3205.00,1.1990,3
786,-3225.00,1.1959,3
787,-3245.00,1.1928,3
788,-3265.00,1.1897,3
789,-3285.00,1.1893,3
790,-3305.00,1.1888,3
791,-3325.00,1.1858,3
792,-3345.00,1.1827,3
793,-3365.00,1.1797,3
794,-3385.00,1.1768,3
795,-3405.00,1.1763,3
796,-3425.00,1.1734,3
797,-3445.00,1.1704,3
798,-3465.00,1.1675,3
799,-3485.00,1.1671,3
800,-3505.00,1.1642,3
801,-3525.00,1.1638,3
802,-3545.00,1.1609,3
803,-3565.00,1.1580,3
804,-3585.00,1.1576,3
805,-3605.00,1.1597,3
806,-3625.00,1.1593,3
807,-3645.00,1.1565,3
808,-3665.00,1.1537,3
809,-3685.00,1.1533,3
810,-3705.00,1.1529,3
811,-3725.00,1.1525,3
812,-3745.00,1.1522,3
813,-3765.00,1.1518,3
814,-3785.00,1.1490,3
