z,our_nonzero,comp_nonzero,our_density,comp_density,abs_density_diff,xor_nonzero
181,9752,9745,0.095234375000,0.095166015625,0.000068359375,467
182,9917,9915,0.096845703125,0.096826171875,0.000019531250,448
183,10069,10049,0.098330078125,0.098134765625,0.000195312500,414
184,10196,10183,0.099570312500,0.099443359375,0.000126953125,389
185,10335,10281,0.100927734375,0.100400390625,0.000527343750,332
186,10312,10294,0.100703125000,0.100527343750,0.000175781250,352
187,10333,10324,0.100908203125,0.100820312500,0.000087890625,353
188,10376,10383,0.101328125000,0.101396484375,0.000068359375,353
189,10414,10433,0.101699218750,0.101884765625,0.000185546875,367
190,10452,10490,0.102070312500,0.102441406250,0.000371093750,366
191,10496,10538,0.102500000000,0.102910156250,0.000410156250,358
192,10613,10637,0.103642578125,0.103876953125,0.000234375000,332
193,10659,10679,0.104091796875,0.104287109375,0.000195312500,302
194,10656,10686,0.104062500000,0.104355468750,0.000292968750,292
195,10639,10710,0.103896484375,0.104589843750,0.000693359375,313
196,10750,10831,0.104980468750,0.105771484375,0.000791015625,299
197,10903,10979,0.106474609375,0.107216796875,0.000742187500,280
198,11041,11124,0.107822265625,0.108632812500,0.000810546875,259
199,11187,11289,0.109248046875,0.110244140625,0.000996093750,268
200,11468,11626,0.111992187500,0.113535156250,0.001542968750,300
201,11677,11779,0.114033203125,0.115029296875,0.000996093750,222
202,11877,12011,0.115986328125,0.117294921875,0.001308593750,246
203,12041,12171,0.117587890625,0.118857421875,0.001269531250,228
204,12171,12319,0.118857421875,0.120302734375,0.001445312500,220
205,12242,12397,0.119550781250,0.121064453125,0.001513671875,217
206,12221,12378,0.119345703125,0.120878906250,0.001533203125,219
207,12165,12315,0.118798828125,0.120263671875,0.001464843750,188
208,12111,12279,0.118271484375,0.119912109375,0.001640625000,204
209,12075,12196,0.117919921875,0.119101562500,0.001181640625,153
210,12007,12137,0.117255859375,0.118525390625,0.001269531250,150
211,11955,12091,0.116748046875,0.118076171875,0.001328125000,144
212,11949,12082,0.116689453125,0.117988281250,0.001298828125,139
213,12004,12143,0.117226562500,0.118583984375,0.001357421875,147
214,11964,12091,0.116835937500,0.118076171875,0.001240234375,133
215,11914,12029,0.116347656250,0.117470703125,0.001123046875,121
216,11901,12007,0.116220703125,0.117255859375,0.001035156250,114
217,11855,11972,0.115771484375,0.116914062500,0.001142578125,127
218,11781,11892,0.115048828125,0.116132812500,0.001083984375,113
219,11691,11806,0.114169921875,0.115292968750,0.001123046875,123
220,11749,11853,0.114736328125,0.115751953125,0.001015625000,118
221,11784,11898,0.115078125000,0.116191406250,0.001113281250,116
222,11721,11863,0.114462890625,0.115849609375,0.001386718750,146
223,11661,11756,0.113876953125,0.114804687500,0.000927734375,101
224,11676,11792,0.114023437500,0.115156250000,0.001132812500,122
225,11695,11795,0.114208984375,0.115185546875,0.000976562500,106
226,11609,11701,0.113369140625,0.114267578125,0.000898437500,98
227,11514,11597,0.112441406250,0.113251953125,0.000810546875,83
228,11520,11616,0.112500000000,0.113437500000,0.000937500000,100
229,11441,11521,0.111728515625,0.112509765625,0.000781250000,86
230,11421,11508,0.111533203125,0.112382812500,0.000849609375,93
231,11374,11456,0.111074218750,0.111875000000,0.000800781250,86
232,11406,11489,0.111386718750,0.112197265625,0.000810546875,83
233,11430,11481,0.111621093750,0.112119140625,0.000498046875,57
234,11462,11531,0.111933593750,0.112607421875,0.000673828125,77
235,11438,11507,0.111699218750,0.112373046875,0.000673828125,79
236,11446,11555,0.111777343750,0.112841796875,0.001064453125,121
237,11494,11588,0.112246093750,0.113164062500,0.000917968750,108
238,11428,11526,0.111601562500,0.112558593750,0.000957031250,102
239,11321,11434,0.110556640625,0.111660156250,0.001103515625,115
240,11251,11373,0.109873046875,0.111064453125,0.001191406250,126
241,11238,11374,0.109746093750,0.111074218750,0.001328125000,142
242,11144,11274,0.108828125000,0.110097656250,0.001269531250,134
243,11091,11227,0.108310546875,0.109638671875,0.001328125000,138
244,10999,11158,0.107412109375,0.108964843750,0.001552734375,163
245,10949,11099,0.106923828125,0.108388671875,0.001464843750,152
246,10935,11061,0.106787109375,0.108017578125,0.001230468750,128
247,10873,11028,0.106181640625,0.107695312500,0.001513671875,161
248,10875,11035,0.106201171875,0.107763671875,0.001562500000,168
249,10908,11042,0.106523437500,0.107832031250,0.001308593750,136
250,10926,11038,0.106699218750,0.107792968750,0.001093750000,128
251,10941,11080,0.106845703125,0.108203125000,0.001357421875,143
